,R_fighter,B_fighter,gender,weight_class,year,R_age,B_age,R_Stance,B_Stance,R_Weight_lbs,B_Weight_lbs,R_Reach_cms,B_Reach_cms,R_wins,B_wins,R_losses,B_losses,R_draw,B_draw,R_current_win_streak,B_current_win_streak,R_current_lose_streak,B_current_lose_streak,R_longest_win_streak,B_longest_win_streak,Winner
77,Sergei Pavlovich,Marcelo Golm,Men's,Heavyweight,2019,26.0,26.0,Southpaw,Orthodox,257.0,249.0,213.36,190.5,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,Red
79,Krzysztof Jotko,Alen Amedovski,Men's,Middleweight,2019,29.0,31.0,Southpaw,Orthodox,185.0,185.0,195.58,187.96,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,Red
80,Movsar Evloev,Seungwoo Choi,Men's,Featherweight,2019,25.0,26.0,Orthodox,Orthodox,145.0,145.0,182.88,187.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red
81,Sultan Aliev,Keita Nakamura,Men's,Welterweight,2019,34.0,34.0,Orthodox,Southpaw,170.0,170.0,187.96,185.42,1.0,4.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,Red
82,Alexander Yakovlev,Alex Da Silva,Men's,Lightweight,2019,34.0,23.0,Southpaw,Orthodox,155.0,155.0,187.96,185.42,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Red
83,Marcin Tybura,Shamil Abdurakhimov,Men's,Heavyweight,2019,33.0,37.0,Orthodox,Orthodox,249.0,235.0,198.12,193.04,4.0,4.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,Blue
84,Gadzhimurad Antigulov,Michal Oleksiejczuk,Men's,Light Heavyweight,2019,32.0,24.0,Orthodox,Southpaw,205.0,205.0,177.8,187.96,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,Blue
85,Magomed Mustafaev,Rafael Fiziev,Men's,Lightweight,2019,30.0,26.0,Orthodox,Switch,155.0,155.0,180.34,180.34,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,Red
86,Max Holloway,Dustin Poirier,Men's,Lightweight,2019,27.0,30.0,Orthodox,Southpaw,155.0,155.0,175.26,182.88,16.0,16.0,3.0,5.0,0.0,0.0,13.0,3.0,0.0,0.0,13.0,4.0,Blue
87,Kelvin Gastelum,Israel Adesanya,Men's,Middleweight,2019,27.0,29.0,Southpaw,Switch,185.0,185.0,180.34,203.2,10.0,5.0,4.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,5.0,5.0,Blue
88,Eryk Anders,Khalil Rountree Jr.,Men's,Light Heavyweight,2019,31.0,29.0,Southpaw,Southpaw,185.0,205.0,190.5,193.04,3.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,Blue
89,Alan Jouban,Dwight Grant,Men's,Welterweight,2019,37.0,34.0,Southpaw,Switch,170.0,170.0,185.42,193.04,7.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,Blue
90,Ovince Saint Preux,Nikita Krylov,Men's,Light Heavyweight,2019,36.0,27.0,Southpaw,Orthodox,205.0,205.0,203.2,195.58,11.0,6.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,Blue
91,Jalin Turner,Matt Frevola,Men's,Lightweight,2019,23.0,28.0,Southpaw,Orthodox,155.0,155.0,195.58,180.34,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,Blue
92,Wilson Reis,Alexandre Pantoja,Men's,Flyweight,2019,34.0,28.0,Southpaw,Orthodox,125.0,125.0,165.1,170.18,7.0,4.0,5.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,Blue
93,Max Griffin,Zelim Imadaev,Men's,Welterweight,2019,33.0,24.0,Orthodox,Orthodox,170.0,170.0,193.04,193.04,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,Red
94,Boston Salmon,Khalid Taha,Men's,Bantamweight,2019,28.0,27.0,Southpaw,Orthodox,135.0,135.0,175.26,175.26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Blue
95,Curtis Millender,Belal Muhammad,Men's,Welterweight,2019,31.0,30.0,Orthodox,Orthodox,170.0,170.0,193.04,182.88,3.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,Blue
96,Montel Jackson,Andre Soukhamthath,Men's,Bantamweight,2019,26.0,30.0,Southpaw,Orthodox,135.0,135.0,190.5,177.8,1.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Red
97,Lauren Mueller,Poliana Botelho,Women's,Women's Flyweight,2019,27.0,30.0,Orthodox,Orthodox,125.0,115.0,170.18,170.18,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,Blue
98,Brandon Davis,Randy Costa,Men's,Bantamweight,2019,28.0,24.0,Orthodox,Switch,135.0,135.0,182.88,185.42,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,Red
99,Edson Barboza,Justin Gaethje,Men's,Lightweight,2019,33.0,30.0,Orthodox,Orthodox,155.0,155.0,190.5,177.8,14.0,2.0,6.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,Blue
100,David Branch,Jack Hermansson,Men's,Middleweight,2019,37.0,30.0,Orthodox,Orthodox,185.0,185.0,198.12,195.58,4.0,5.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,Blue
